
12351;001;01645500;003;04962000;002;01064900;

12357;002;01400000;002;02870000;000;00000000;


12361;002;01075500;000;00000000;000;00000000;



12363;000;00000000;002;00441000;000;00000000;




12365;000;00000000;001;01905555;000;00000000;





12367;002;14434610;000;00000000;002;08107610;






12369;001;00800055;002;01575610;000;00000000;







12379;002;03305055;001;00156000;001;00140055;








12387;000;00000000;002;00223800;000;00000000;









12393;002;00140000;001;00090000;000;00000000;